date,province,city,confirmed,suspected,cured,dead,rank
2020-01-20,北京市,全市,5,0,0,0,155
2020-01-21,北京市,全市,10,0,0,0,175
2020-01-21,北京市,武汉来京,1,0,0,0,176
2020-01-21,北京市,西城区,1,0,0,0,177
2020-01-21,北京市,丰台区,1,0,0,0,178
2020-01-21,北京市,海淀区,2,0,0,0,179
2020-01-21,北京市,通州区,1,0,0,0,180
2020-01-21,北京市,昌平区,2,0,0,0,181
2020-01-21,北京市,大兴区,2,0,0,0,182
2020-01-22,北京市,全市,14,0,0,0,232
2020-01-22,北京市,武汉来京,2,0,0,0,233
2020-01-22,北京市,西城区,2,0,0,0,234
2020-01-22,北京市,朝阳区,1,0,0,0,235
2020-01-22,北京市,丰台区,1,0,0,0,236
2020-01-22,北京市,石景山区,1,0,0,0,237
2020-01-22,北京市,海淀区,2,0,0,0,238
2020-01-22,北京市,通州区,1,0,0,0,239
2020-01-22,北京市,昌平区,2,0,0,0,240
2020-01-22,北京市,大兴区,2,0,0,0,241
2020-01-23,北京市,全市,22,0,0,0,340
2020-01-23,北京市,外地来京,6,0,0,0,341
2020-01-23,北京市,西城区,3,0,0,0,342
2020-01-23,北京市,朝阳区,2,0,0,0,343
2020-01-23,北京市,丰台区,1,0,0,0,344
2020-01-23,北京市,石景山区,1,0,0,0,345
2020-01-23,北京市,海淀区,3,0,0,0,346
2020-01-23,北京市,通州区,2,0,0,0,347
2020-01-23,北京市,昌平区,2,0,0,0,348
2020-01-23,北京市,大兴区,2,0,0,0,349
2020-01-24,北京市,全市,36,0,0,0,520
2020-01-24,北京市,外地来京,10,0,0,0,521
2020-01-24,北京市,西城区,4,0,0,0,522
2020-01-24,北京市,朝阳区,5,0,0,0,523
2020-01-24,北京市,丰台区,2,0,0,0,524
2020-01-24,北京市,石景山区,1,0,0,0,525
2020-01-24,北京市,海淀区,6,0,0,0,526
2020-01-24,北京市,通州区,2,0,0,0,527
2020-01-24,北京市,顺义区,1,0,0,0,528
2020-01-24,北京市,昌平区,3,0,0,0,529
2020-01-24,北京市,大兴区,2,0,0,0,530
2020-01-25,北京市,全市,41,0,0,0,759
2020-01-25,北京市,外地来京,11,0,0,0,760
2020-01-25,北京市,西城区,4,0,0,0,761
2020-01-25,北京市,朝阳区,6,0,0,0,762
2020-01-25,北京市,丰台区,2,0,0,0,763
2020-01-25,北京市,石景山区,1,0,0,0,764
2020-01-25,北京市,海淀区,8,0,0,0,765
2020-01-25,北京市,通州区,3,0,0,0,766
2020-01-25,北京市,顺义区,1,0,0,0,767
2020-01-25,北京市,昌平区,3,0,0,0,768
2020-01-25,北京市,大兴区,2,0,0,0,769
2020-01-26,北京市,全市,68,0,0,0,1045
2020-01-26,北京市,外地来京,12,0,0,0,1046
2020-01-26,北京市,东城区,1,0,0,0,1047
2020-01-26,北京市,西城区,5,0,0,0,1048
2020-01-26,北京市,朝阳区,11,0,0,0,1049
2020-01-26,北京市,丰台区,4,0,0,0,1050
2020-01-26,北京市,石景山区,2,0,0,0,1051
2020-01-26,北京市,海淀区,16,0,0,0,1052
2020-01-26,北京市,通州区,6,0,0,0,1053
2020-01-26,北京市,顺义区,1,0,0,0,1054
2020-01-26,北京市,昌平区,7,0,0,0,1055
2020-01-26,北京市,大兴区,3,0,0,0,1056
2020-01-27,北京市,全市,80,0,2,1,1395
2020-01-27,北京市,外地来京,11,0,0,0,1396
2020-01-27,北京市,东城区,2,0,0,0,1397
2020-01-27,北京市,西城区,7,0,0,0,1398
2020-01-27,北京市,朝阳区,17,0,0,0,1399
2020-01-27,北京市,丰台区,4,0,0,0,1400
2020-01-27,北京市,石景山区,2,0,0,0,1401
2020-01-27,北京市,海淀区,17,0,0,0,1402
2020-01-27,北京市,通州区,7,0,0,0,1403
2020-01-27,北京市,顺义区,1,0,0,0,1404
2020-01-27,北京市,昌平区,7,0,0,0,1405
2020-01-27,北京市,大兴区,5,0,0,0,1406
2020-01-28,北京市,全市,91,0,4,1,1768
2020-01-28,北京市,外地来京,11,0,0,0,1769
2020-01-28,北京市,东城区,2,0,0,0,1770
2020-01-28,北京市,西城区,8,0,0,0,1771
2020-01-28,北京市,朝阳区,17,0,0,0,1772
2020-01-28,北京市,丰台区,7,0,0,0,1773
2020-01-28,北京市,石景山区,2,0,0,0,1774
2020-01-28,北京市,海淀区,21,0,0,0,1775
2020-01-28,北京市,通州区,7,0,0,0,1776
2020-01-28,北京市,顺义区,2,0,0,0,1777
2020-01-28,北京市,昌平区,7,0,0,0,1778
2020-01-28,北京市,大兴区,7,0,0,0,1779
2020-01-29,北京市,全市,114,0,4,1,2163
2020-01-29,北京市,外地来京,11,0,0,0,2164
2020-01-29,北京市,待确认,0,0,0,1,2165
2020-01-29,北京市,东城区,2,0,0,0,2166
2020-01-29,北京市,西城区,12,0,0,0,2167
2020-01-29,北京市,朝阳区,21,0,0,0,2168
2020-01-29,北京市,丰台区,11,0,0,0,2169
2020-01-29,北京市,石景山区,2,0,0,0,2170
2020-01-29,北京市,海淀区,24,0,0,0,2171
2020-01-29,北京市,门头沟区,1,0,0,0,2172
2020-01-29,北京市,通州区,8,0,0,0,2173
2020-01-29,北京市,顺义区,2,0,0,0,2174
2020-01-29,北京市,昌平区,9,0,0,0,2175
2020-01-29,北京市,大兴区,10,0,0,0,2176
2020-01-29,北京市,怀柔区,1,0,0,0,2177
2020-01-30,北京市,全市,132,0,5,1,2581
2020-01-30,北京市,外地来京,11,0,0,0,2582
2020-01-30,北京市,东城区,3,0,0,0,2583
2020-01-30,北京市,西城区,13,0,0,0,2584
2020-01-30,北京市,朝阳区,22,0,0,0,2585
2020-01-30,北京市,丰台区,11,0,0,0,2586
2020-01-30,北京市,石景山区,2,0,0,0,2587
2020-01-30,北京市,海淀区,26,0,0,0,2588
2020-01-30,北京市,门头沟区,1,0,0,0,2589
2020-01-30,北京市,通州区,12,0,0,0,2590
2020-01-30,北京市,顺义区,2,0,0,0,2591
2020-01-30,北京市,昌平区,12,0,0,0,2592
2020-01-30,北京市,大兴区,16,0,0,0,2593
2020-01-30,北京市,怀柔区,1,0,0,0,2594
2020-01-31,北京市,全市,156,0,5,1,3012
2020-01-31,北京市,外地来京,11,0,0,0,3013
2020-01-31,北京市,东城区,3,0,0,0,3014
2020-01-31,北京市,西城区,17,0,0,0,3015
2020-01-31,北京市,朝阳区,27,0,0,0,3016
2020-01-31,北京市,丰台区,12,0,0,0,3017
2020-01-31,北京市,石景山区,3,0,0,0,3018
2020-01-31,北京市,海淀区,35,0,0,0,3019
2020-01-31,北京市,门头沟区,1,0,0,0,3020
2020-01-31,北京市,通州区,13,0,0,0,3021
2020-01-31,北京市,顺义区,2,0,0,0,3022
2020-01-31,北京市,昌平区,12,0,0,0,3023
2020-01-31,北京市,大兴区,19,0,0,0,3024
2020-01-31,北京市,怀柔区,1,0,0,0,3025
2020-02-01,北京市,全市,183,0,9,1,3456
2020-02-01,北京市,外地来京,11,0,0,0,3457
2020-02-01,北京市,东城区,3,0,0,0,3458
2020-02-01,北京市,西城区,17,0,0,0,3459
2020-02-01,北京市,朝阳区,35,0,0,0,3460
2020-02-01,北京市,丰台区,16,0,0,0,3461
2020-02-01,北京市,石景山区,4,0,0,0,3462
2020-02-01,北京市,海淀区,41,0,0,0,3463
2020-02-01,北京市,门头沟区,1,0,0,0,3464
2020-02-01,北京市,房山区,2,0,0,0,3465
2020-02-01,北京市,通州区,13,0,0,0,3466
2020-02-01,北京市,顺义区,6,0,0,0,3467
2020-02-01,北京市,昌平区,12,0,0,0,3468
2020-02-01,北京市,大兴区,21,0,0,0,3469
2020-02-01,北京市,怀柔区,1,0,0,0,3470
2020-02-02,北京市,全市,212,0,12,1,3909
2020-02-02,北京市,外地来京,19,0,0,0,3910
2020-02-02,北京市,东城区,2,0,0,0,3911
2020-02-02,北京市,西城区,26,0,0,0,3912
2020-02-02,北京市,朝阳区,31,0,0,0,3913
2020-02-02,北京市,丰台区,17,0,0,0,3914
2020-02-02,北京市,石景山区,5,0,0,0,3915
2020-02-02,北京市,海淀区,42,0,0,0,3916
2020-02-02,北京市,门头沟区,3,0,0,0,3917
2020-02-02,北京市,房山区,4,0,0,0,3918
2020-02-02,北京市,通州区,13,0,0,0,3919
2020-02-02,北京市,顺义区,5,0,0,0,3920
2020-02-02,北京市,昌平区,13,0,0,0,3921
2020-02-02,北京市,大兴区,28,0,0,0,3922
2020-02-02,北京市,怀柔区,3,0,0,0,3923
2020-02-02,北京市,延庆区,1,0,0,0,3924
2020-02-03,北京市,全市,228,0,23,1,4363
2020-02-03,北京市,外地来京,20,0,0,0,4364
2020-02-03,北京市,东城区,2,0,0,0,4365
2020-02-03,北京市,西城区,28,0,0,0,4366
2020-02-03,北京市,朝阳区,36,0,0,0,4367
2020-02-03,北京市,丰台区,18,0,0,0,4368
2020-02-03,北京市,石景山区,6,0,0,0,4369
2020-02-03,北京市,海淀区,45,0,0,0,4370
2020-02-03,北京市,门头沟区,3,0,0,0,4371
2020-02-03,北京市,房山区,5,0,0,0,4372
2020-02-03,北京市,通州区,13,0,0,0,4373
2020-02-03,北京市,顺义区,5,0,0,0,4374
2020-02-03,北京市,昌平区,14,0,0,0,4375
2020-02-03,北京市,大兴区,29,0,0,0,4376
2020-02-03,北京市,怀柔区,3,0,0,0,4377
2020-02-03,北京市,延庆区,1,0,0,0,4378
2020-02-04,北京市,全市,253,0,24,1,4823
2020-02-04,北京市,外地来京,21,0,0,0,4824
2020-02-04,北京市,东城区,6,0,0,0,4825
2020-02-04,北京市,西城区,29,0,0,0,4826
2020-02-04,北京市,朝阳区,43,0,0,0,4827
2020-02-04,北京市,丰台区,20,0,0,0,4828
2020-02-04,北京市,石景山区,7,0,0,0,4829
2020-02-04,北京市,海淀区,45,0,0,0,4830
2020-02-04,北京市,门头沟区,3,0,0,0,4831
2020-02-04,北京市,房山区,11,0,0,0,4832
2020-02-04,北京市,通州区,13,0,0,0,4833
2020-02-04,北京市,顺义区,6,0,0,0,4834
